date,value
1996-01-17 10:00:00,3.6
1996-02-21 10:00:00,5.3
1996-03-28 10:00:00,4.7
1996-06-18 10:00:00,2.5
1996-09-09 10:00:00,1.9
1996-11-28 10:00:00,1.3
1996-12-18 10:00:00,1.8
1997-01-09 10:00:00,5.7
1997-02-06 10:00:00,3.4
1997-03-03 10:00:00,3.8
1997-05-07 10:00:00,2.3
1997-07-21 10:00:00,3.5
1997-10-27 10:00:00,3
1997-11-27 10:00:00,2.8
1997-12-15 10:00:00,9
1998-01-13 10:00:00,8
1998-02-17 10:00:00,5
1998-03-19 10:00:00,7
1998-05-06 10:00:00,5
1998-07-08 10:00:00,7
1998-09-02 10:00:00,8
1998-10-07 10:00:00,8
1998-11-24 10:00:00,5
1998-12-15 10:00:00,5
1999-01-27 10:00:00,20
1999-02-23 10:00:00,4
1999-03-19 10:00:00,6
1999-05-24 10:00:00,4
1999-07-14 10:00:00,6
1999-09-27 10:00:00,7
1999-10-25 10:00:00,6
1999-11-11 10:00:00,5
1999-12-09 10:00:00,5
2000-01-13 10:00:00,4
2000-02-02 10:00:00,9
2000-03-02 10:00:00,4
2000-05-04 10:00:00,7
2000-07-17 10:00:00,6
2000-08-15 10:00:00,5
2000-09-14 10:00:00,10
2000-10-10 10:00:00,6
2000-11-16 10:00:00,6
2000-12-06 10:00:00,9
2002-01-24 10:00:00,6
2002-02-28 10:00:00,5
2002-03-14 10:00:00,3
2002-04-11 10:00:00,6
2002-05-15 10:00:00,5
2002-06-18 10:00:00,4
2002-07-16 10:00:00,4
2002-08-15 10:00:00,7
2002-09-11 10:00:00,6
2002-10-08 10:00:00,11
2002-11-12 10:00:00,7
2003-01-14 10:00:00,10
2003-02-11 10:00:00,7
2003-03-11 10:00:00,7
2003-04-10 10:00:00,7
2003-05-13 10:00:00,7
2003-06-19 10:00:00,2
2003-07-15 10:00:00,7
2003-08-12 10:00:00,7
2003-09-09 10:00:00,5
2003-10-14 10:00:00,8
2003-11-11 10:00:00,7
2003-12-09 10:00:00,8
2004-01-13 10:00:00,7
2004-02-10 10:00:00,5
2004-03-09 10:00:00,11
2004-04-21 10:00:00,8
2004-06-15 10:00:00,5
2004-07-13 10:00:00,5
2004-08-10 10:00:00,2
2004-09-14 10:00:00,14
2004-10-12 10:00:00,10
2004-11-17 10:00:00,6
2004-12-14 10:00:00,4
2005-01-11 10:00:00,4
2005-02-15 10:00:00,17
2005-03-08 10:00:00,4
2005-06-14 10:00:00,27
2005-09-08 10:00:00,6
2005-10-18 10:00:00,10
2005-11-15 10:00:00,11
2005-12-13 10:00:00,9